ID,Title,Description,Risk,Category,TestSteps,Tools,References,Tags
V6.2.1,Verify encryption in transit,Verify that data in transit is encrypted with TLS,Critical,Cryptography,"1. Capture network traffic; 2. Verify TLS version; 3. Check certificate","Wireshark, Burp Suite",https://cheatsheetseries.owasp.org/cheatsheets/Transport_Layer_Protection_Cheat_Sheet.html,Crypto,TLS
V6.3.1,Verify secure key management,Verify that cryptographic keys are securely managed,Critical,Cryptography,"1. Locate key storage; 2. Verify key rotation; 3. Check access control","grep, Manual review",https://cheatsheetseries.owasp.org/cheatsheets/Key_Management_Cheat_Sheet.html,Crypto,KeyMgmt
V7.1.1,Verify error handling framework,Verify that error handling is implemented consistently,Medium,Error Handling,"1. Trigger errors; 2. Review error messages; 3. Check information disclosure","Burp Suite, Manual testing",https://cheatsheetseries.owasp.org/cheatsheets/Error_Handling_Cheat_Sheet.html,ErrorHandling
V7.2.1,Verify logging of security events,Verify that security events are logged,High,Logging,"1. Identify logging points; 2. Verify logging implementation; 3. Check audit trail","grep, Log analysis tools",https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html,Logging
V8.1.1,Verify data protection policy,Verify that data protection policies are defined,Medium,Data Protection,"1. Review data policies; 2. Verify classification; 3. Check handling rules","Spreadsheet, Documentation",https://owasp.org/www-project-asvs/,DataProtection,Privacy
V8.2.1,Verify data retention policies,Verify that data retention policies are defined and enforced,Medium,Data Protection,"1. Identify data types; 2. Verify retention rules; 3. Check deletion procedures","Spreadsheet, Database tools",https://cheatsheetseries.owasp.org/cheatsheets/Data_Protection_Cheat_Sheet.html,DataProtection,Privacy
V9.1.1,Verify communications security,Verify that all communications are secure,High,Communications,"1. Check all communication channels; 2. Verify encryption; 3. Test for tampering","Burp Suite, Wireshark",https://owasp.org/www-project-asvs/,Communications
V10.1.1,Verify malicious code prevention,Verify that malicious code is prevented,High,Malicious Code,"1. Code review; 2. Run SAST tools; 3. Check dependencies","SonarQube, Checkmarx",https://cheatsheetseries.owasp.org/cheatsheets/Secure_Coding_Practices_Checklist.html,CodeQuality,SAST
V11.1.1,Verify business logic testing,Verify that business logic is tested for abuse,High,Business Logic,"1. Map business flows; 2. Identify bypass paths; 3. Test edge cases","Manual testing, Burp Suite",https://cheatsheetseries.owasp.org/cheatsheets/Abuse_Case_Cheat_Sheet.html,BusinessLogic
V12.1.1,Verify file upload restrictions,Verify that file uploads are restricted properly,High,File Upload,"1. Test file upload; 2. Verify restrictions; 3. Check storage","Burp Suite, Manual testing",https://cheatsheetseries.owasp.org/cheatsheets/File_Upload_Cheat_Sheet.html,FileUpload
V12.4.1,Verify file serving security,Verify that files are served securely,Medium,File Upload,"1. Test file access; 2. Verify permissions; 3. Check execution","Burp Suite, curl",https://owasp.org/www-project-asvs/,FileUpload
V13.1.1,Verify API security controls,Verify that API security controls are in place,High,API,"1. Document API endpoints; 2. Test authentication; 3. Verify rate limiting","Postman, Burp Suite",https://owasp.org/www-project-api-security/,API
V14.1.1,Verify configuration security,Verify that configuration is secure,High,Configuration,"1. Review config files; 2. Check for hardcoded secrets; 3. Verify permissions","grep, Manual review",https://cheatsheetseries.owasp.org/cheatsheets/Nodejs_Security_Cheat_Sheet.html,Configuration,Secrets
V14.2.1,Verify dependency security,Verify that dependencies are secure,Medium,Configuration,"1. Run dependency check; 2. Update vulnerable packages; 3. Verify integrity","npm audit, Snyk",https://cheatsheetseries.owasp.org/cheatsheets/Dependency_Check_Cheat_Sheet.html,Configuration,Dependencies
